id,lat,lng
0,42.36501933,-71.103005
1,42.351526,-71.06046343
2,42.33696,-71.10333183
3,42.33625534,-71.07965406
4,42.356845,-71.1371172
5,42.3161565,-71.0434135
6,42.370638,-71.11864978
7,42.3505332,-71.0451064
8,42.34668471,-71.08646814
9,42.34839067,-71.12111433
10,42.36874175,-71.062727
11,42.380978,-71.107067
12,42.36235475,-71.08979525
13,42.34895729,-71.07268657
14,42.328383,-71.0614675
15,42.366186,-71.074964
16,42.333244,-71.1183655
17,42.34691567,-71.1014165
18,42.37826725,-71.096901
19,42.36008714,-71.05441186
,,
zone 0,"5, 16, 2, 3, 14",
zone 1,"7, 1, 19, 13",
zone 2,"17, 8, 9, 4",
zone 3,"10, 15, 12",
zone 4,"11, 18, 0, 6",
